t_s,count,theta_rad,omega_rad_s,vin_V
3.3735588,40516,20.2039314210864,30.5116578839958,4
3.4204477,43294,21.5892241816693,29.7142208659842,4
3.4663957,46056,22.9665382942431,29.9287967618798,4
3.5130871,48917,24.3932202913733,30.445005146266,4
3.5600104,51748,25.8049423234864,30.1488508848887,4
3.607501,54643,27.248578947636,30.3549646898532,4
3.6539779,57473,28.6598023142486,30.3623784859136,4
3.7002905,60246,30.0426017473287,29.9475289356062,4
3.7467471,63076,31.4538251139412,30.3011278746617,4
3.7935154,65909,32.8665444770555,30.2233930179498,4
3.8410604,68763,34.2897358156817,29.9839302946517,4
3.8875959,71610,35.709436495804,30.4152255320774,4
3.9338063,74352,37.0767772983664,29.7363665421911,4
3.9799782,77209,38.5014646334943,30.6568052807516,4
4.0278965,80098,39.9421092646405,30.1668502693226,4
4.075272,82947,41.3628072757639,30.0191983305872,4
4.1219295,85761,42.7660519943673,30.065511219332,4
4.1676484,88508,44.1358861244326,29.9806572322603,4
4.2136264,91320,45.5381335120349,30.4057658352372,4
4.2600702,94161,46.9548421991537,30.4863660042588,4
4.3079254,97013,48.3770362067788,29.8513818579434,4
4.3544613,99895,49.814190179421,30.7002770137495,4
4.4004694,102630,51.1780403234794,29.8323441465769,4
4.4470818,105515,52.6166902926233,30.6818543395029,4
4.4948784,108335,54.0229270042302,29.6393776623865,4
4.5406266,111168,55.4356463673445,30.6577277784418,4
4.5877199,114036,56.8658190229787,30.4195051506684,4
4.6337408,116768,58.2281731705354,29.7487044846368,4
4.6799485,119607,59.6438845266531,30.4797812570884,4
4.7280357,122495,61.0840304922987,30.0400738582078,4
4.7744408,125361,62.5132058169318,30.6634694950485,4
4.8217394,128170,63.9139572080323,29.7980419425791,4
4.8669588,130881,65.2658393800771,29.8783143509447,4
4.9120997,133698,66.6705800951822,30.8940162132755,4
4.9588846,136523,68.079310134292,30.2487140285966,4
5.0067312,139425,69.5264374169455,30.245760735109,4
5.0534383,142256,70.9381594490587,30.2286598938092,4
5.0998863,145036,72.3244495406427,29.9138444324361,4
5.1463478,147912,73.7586115202815,30.6988022628361,4
5.1943925,150812,75.204741471934,30.2028949116941,4
5.2418489,153693,76.6413967790756,30.2609327465444,4
5.2896014,156573,78.0775534207166,30.1071982876326,4
5.3354355,159318,79.4463902197807,29.9084033223503,4
5.3821064,162212,80.8895281784298,30.7427973064226,4
5.4297193,165108,82.3336634680799,30.4022755791562,4
5.4777305,168007,83.7792947542318,30.160624878359,4
5.5252357,170863,85.2034834238592,30.0111106197518,4
5.5708566,173582,86.5593549199085,29.772668228073,4
5.6167924,176410,87.9695809555199,30.534160911119,4
5.6635439,179271,89.3962629526501,30.5194330765073,4
5.7117146,182184,90.84887555581,30.2180811632819,4
5.758502,185039,92.2725655599368,30.3917914142859,4
5.8048542,187771,93.6349197074935,29.5688910406258,4
5.8514585,190679,95.0850389831505,30.8423244535005,4
5.8986464,193540,96.5117209802807,30.3404258884351,4
5.9456774,196400,97.9379043119104,30.3271482266483,4
5.99299,199274,99.371068960548,30.2976331714862,4
6.0393043,202020,100.740404425113,29.6960416142885,4
6.0852974,204884,102.168582418745,30.8098392440289,4
6.1325624,207683,103.56434715484,29.7540055624759,4
6.1799648,210596,105.016959757999,30.4891896294341,4
6.2279191,213492,106.46109504765,30.1794204389406,4
6.2736639,216229,107.825942522709,29.89770668204,4
6.3206178,219145,109.280051122371,30.7807835193367,4
6.3685514,222063,110.735157053033,30.4299019197161,4
6.4165636,224956,112.177796346182,30.1132918997318,4
6.4632035,227765,113.578547737282,30.047445530411,4
6.5085905,230521,114.952869856853,30.2380806845373,4
6.5551832,233392,116.384538508989,30.6408681505089,4
6.6036918,236294,117.831665791642,29.9705678166746,4
6.649693,239118,119.239897165251,30.4982223912322,4
6.6957972,241926,120.640149890851,30.3940694192652,4
6.7413196,244633,121.990037400894,29.7866843694644,4
6.7883416,247553,123.446140662558,30.7595332566109,4
6.8354054,250409,124.870329332185,30.3482067824694,4
6.8819197,253217,126.270582057785,30.1469679961482,4
6.9281864,256041,127.678813431394,30.3856642307193,4
6.9739248,258763,129.036180923945,29.803943687982,4
7.0209532,261671,130.486300199602,30.6541777875028,4
7.0687652,264596,131.944896788769,30.5323871694757,4
7.1168603,267504,133.395016064426,30.2167161662819,4
7.1639788,270372,134.82518872006,30.328874485447,4
7.2099049,273095,136.183054878112,29.70267733502,4
7.2566133,276005,137.63417148477,30.8268859641316,4
7.3039865,278873,139.064344140404,30.300584859752,4
7.350626,281663,140.455620886994,29.9134454786373,4
7.396611,284515,141.877814894619,30.7462438583809,4
7.4427498,287247,143.240169042176,29.7444296304968,4
7.4885553,290088,144.656877729295,30.7165598986445,4
7.5356973,292967,146.092535705435,30.499870062772,4
7.5828462,295778,147.494284427537,29.8649216822976,4
7.6291418,298616,148.909497118154,30.4439762155494,4
7.6746925,301366,150.280827244721,30.1664945486279,4
7.7218175,304251,151.719477213865,30.4650313283182,4
7.7694459,307176,153.178073803031,30.5968394480825,4
7.8171819,310120,154.646145036709,30.7267498295404,4
7.8651883,312954,156.059363065324,29.6602707099606,4
7.9107159,315734,157.445653156908,30.3073210202432,4
7.95793,318644,158.896769763566,30.6600963199726,4
8.0049061,321501,160.321457098694,30.3862198066854,4
8.0525708,324391,161.762600395341,30.261242921815,4
8.1004303,327339,163.232666291021,30.6376364278639,4
8.1459205,329997,164.558119191535,29.4075217748923,4
8.1918134,332793,165.952387931128,30.2067696852757,4
8.2381234,335680,167.392035231273,30.93082928428,4
8.2851359,338552,168.82420254891,30.5455051169347,4
8.3325391,341397,170.242905898031,30.0359283156773,4
8.3779288,344098,171.58980141507,29.7393703196771,4
8.4238705,346948,173.010998091694,30.7210967814837,4
8.470457,349800,174.433192099319,30.562147781537,4
8.5173413,352665,175.861868758451,30.4881687380851,4
8.5643463,355531,177.291044083085,30.4193844752899,4
8.6103138,358271,178.657387554646,29.8483462065337,4
8.6561187,361098,180.067114924757,30.6104093399717,4
8.7024722,363941,181.484820942877,30.5892289124844,4
8.749154,366780,182.900532298994,30.3731293861965,4
8.7971581,369664,184.338683602638,30.0303357435987,4
8.8428818,372420,185.713005722208,30.05230228801,4
8.8886026,375233,187.115751775311,30.5679221400807,4
8.9354748,378105,188.547919092947,30.5570478904865,4
8.9824008,380968,189.975598421079,30.4474195804405,4
9.0295112,383814,191.3948004357,30.1814767612576,4
9.0751471,386535,192.751669262751,29.8131888701895,4
9.1218859,389405,194.182839249386,30.4782948412247,4
9.1692267,392314,195.633457190544,30.6134705056407,4
9.2161375,395193,197.069115166684,30.6056615123466,4
9.2637031,398087,198.512253125333,30.3861086095252,4
9.3094531,400809,199.869620617884,29.7978220384982,4
9.3554373,403623,201.272865336488,30.3875546848654,4
9.4024314,406540,202.72747260165,30.8537692850802,4
9.4497993,409425,204.166122570794,30.4558413676403,4
9.4976905,412335,205.617239177452,30.3271485188527,4
9.5442203,415113,207.002531938035,29.870338224644,4
9.5903709,417974,208.429213935165,30.727817322996,4
9.6378226,420817,209.846919953285,30.0249460216133,4
9.6848059,423678,211.273601950415,30.3059222148654,4
9.7311361,426505,212.683329320526,30.4061869522829,4
9.7771502,429275,214.064632757105,30.0882332502216,4
9.8233042,432135,215.490816088734,30.7558796191159,4
9.8702103,434969,216.904034117349,30.2388816806285,4
9.9173808,437888,218.359638713512,30.7500094099154,4
